location,location_name,target_variable,target_end_date,value,population,model
AT,Austria,inc case,2020-01-25,0,8809212,Observed
AT,Austria,inc case,2020-02-01,0,8809212,Observed
AT,Austria,inc case,2020-02-08,0,8809212,Observed
AT,Austria,inc case,2020-02-15,0,8809212,Observed
AT,Austria,inc case,2020-02-22,0,8809212,Observed
AT,Austria,inc case,2020-02-29,3,8809212,Observed
AT,Austria,inc case,2020-03-07,43,8809212,Observed
AT,Austria,inc case,2020-03-14,363,8809212,Observed
AT,Austria,inc case,2020-03-21,1989,8809212,Observed
AT,Austria,inc case,2020-03-28,4895,8809212,Observed
AT,Austria,inc case,2020-04-04,4180,8809212,Observed
AT,Austria,inc case,2020-04-11,2008,8809212,Observed
AT,Austria,inc case,2020-04-18,1148,8809212,Observed
AT,Austria,inc case,2020-04-25,478,8809212,Observed
AT,Austria,inc case,2020-05-02,410,8809212,Observed
AT,Austria,inc case,2020-05-09,246,8809212,Observed
AT,Austria,inc case,2020-05-16,304,8809212,Observed
AT,Austria,inc case,2020-05-23,302,8809212,Observed
AT,Austria,inc case,2020-05-30,199,8809212,Observed
AT,Austria,inc case,2020-06-06,184,8809212,Observed
AT,Austria,inc case,2020-06-13,218,8809212,Observed
AT,Austria,inc case,2020-06-20,212,8809212,Observed
AT,Austria,inc case,2020-06-27,266,8809212,Observed
AT,Austria,inc case,2020-07-04,506,8809212,Observed
AT,Austria,inc case,2020-07-11,665,8809212,Observed
AT,Austria,inc case,2020-07-18,739,8809212,Observed
AT,Austria,inc case,2020-07-25,798,8809212,Observed
AT,Austria,inc case,2020-08-01,907,8809212,Observed
AT,Austria,inc case,2020-08-08,709,8809212,Observed
AT,Austria,inc case,2020-08-15,1052,8809212,Observed
AT,Austria,inc case,2020-08-22,1863,8809212,Observed
AT,Austria,inc case,2020-08-29,1813,8809212,Observed
AT,Austria,inc case,2020-09-05,2156,8809212,Observed
AT,Austria,inc case,2020-09-12,3201,8809212,Observed
AT,Austria,inc case,2020-09-19,4962,8809212,Observed
AT,Austria,inc case,2020-09-26,4774,8809212,Observed
AT,Austria,inc case,2020-10-03,5041,8809212,Observed
AT,Austria,inc case,2020-10-10,6858,8809212,Observed
AT,Austria,inc case,2020-10-17,8525,8809212,Observed
AT,Austria,inc case,2020-10-24,13988,8809212,Observed
AT,Austria,inc case,2020-10-31,25462,8809212,Observed
AT,Austria,inc case,2020-11-07,40602,8809212,Observed
AT,Austria,inc case,2020-11-14,50275,8809212,Observed
AT,Austria,inc case,2020-11-21,43366,8809212,Observed
AT,Austria,inc case,2020-11-28,34815,8809212,Observed
AT,Austria,inc case,2020-12-05,24902,8809212,Observed
AT,Austria,inc case,2020-12-12,19237,8809212,Observed
AT,Austria,inc case,2020-12-19,17817,8809212,Observed
AT,Austria,inc case,2020-12-26,14335,8809212,Observed
AT,Austria,inc case,2021-01-02,13961,8809212,Observed
AT,Austria,inc case,2021-01-09,14462,8809212,Observed
